gr.id,smp.id,Repetition,Year,State,Type,JDctr,det.id,distance,vis.id,size
189,377,1,2007,MO,CONTROL,-18,72,83,2007_1,1
189,377,1,2007,MO,CONTROL,-18,73,323,2007_1,1
189,377,1,2008,MO,CONTROL,-14,NA,NA,2008_1,NA
189,378,1,2006,MO,TREAT,2,NA,NA,2006_1,NA
189,378,1,2007,MO,TREAT,-19,74,350,2007_1,1
189,378,1,2007,MO,TREAT,-19,75,116,2007_1,1
189,378,1,2008,MO,TREAT,-14,NA,NA,2008_1,NA
190,379,1,2006,MO,CONTROL,-21,76,332.28,2006_1,1
190,379,1,2006,MO,CONTROL,-21,77,297.71,2006_1,1
190,379,1,2006,MO,CONTROL,-21,78,269.95,2006_1,1
190,379,1,2006,MO,CONTROL,-21,79,398.42,2006_1,1
190,379,1,2006,MO,CONTROL,-21,80,402.33,2006_1,1
190,379,1,2006,MO,CONTROL,-21,81,457.39,2006_1,1
190,379,1,2007,MO,CONTROL,-16,82,142,2007_1,1
190,379,1,2007,MO,CONTROL,-16,83,199,2007_1,1
190,379,1,2007,MO,CONTROL,-16,84,80,2007_1,1
190,379,1,2008,MO,CONTROL,-4,85,222,2008_1,1
190,379,1,2008,MO,CONTROL,-4,86,157,2008_1,1
190,379,1,2008,MO,CONTROL,-4,87,366,2008_1,1
190,379,1,2008,MO,CONTROL,-4,88,275,2008_1,1
190,380,1,2006,MO,TREAT,-21,89,181.66,2006_1,1
190,380,1,2006,MO,TREAT,-21,90,345.21,2006_1,1
190,380,1,2006,MO,TREAT,-21,91,429.21,2006_1,1
190,380,1,2007,MO,TREAT,-16,92,208,2007_1,1
190,380,1,2007,MO,TREAT,-16,93,296,2007_1,1
190,380,1,2008,MO,TREAT,-4,94,194,2008_1,1
190,380,1,2008,MO,TREAT,-4,95,126,2008_1,1
191,381,1,2006,MO,CONTROL,-14,96,374.43,2006_1,1
191,381,1,2006,MO,CONTROL,-14,97,497.58,2006_1,1
191,381,1,2007,MO,CONTROL,-20,98,303,2007_1,1
191,381,1,2007,MO,CONTROL,-20,99,275,2007_1,1
191,381,1,2008,MO,CONTROL,-15,100,411,2008_1,1
191,381,1,2008,MO,CONTROL,-15,101,434,2008_1,1
191,381,1,2008,MO,CONTROL,-15,102,439,2008_1,1
191,381,1,2008,MO,CONTROL,-15,103,321,2008_1,1
191,382,1,2006,MO,TREAT,-14,104,282.48,2006_1,1
191,382,1,2006,MO,TREAT,-14,105,285.1,2006_1,1
191,382,1,2007,MO,TREAT,-20,106,134,2007_1,1
191,382,1,2007,MO,TREAT,-20,107,206,2007_1,1
191,382,1,2008,MO,TREAT,-15,108,188,2008_1,1
191,382,1,2008,MO,TREAT,-15,109,177,2008_1,1
191,382,1,2008,MO,TREAT,-15,110,216,2008_1,1
191,382,1,2008,MO,TREAT,-15,111,271,2008_1,1
192,383,1,2006,MO,CONTROL,-20,112,139.79,2006_1,1
192,383,1,2006,MO,CONTROL,-20,113,404.9,2006_1,1
192,383,1,2006,MO,CONTROL,-20,114,283.79,2006_1,1
192,383,1,2006,MO,CONTROL,-20,115,347.97,2006_1,1
192,383,1,2007,MO,CONTROL,-17,116,238,2007_1,1
192,383,1,2007,MO,CONTROL,-17,117,226,2007_1,1
192,383,1,2007,MO,CONTROL,-17,118,275,2007_1,1
192,383,1,2007,MO,CONTROL,-17,119,420,2007_1,1
192,383,1,2007,MO,CONTROL,-17,120,338,2007_1,1
192,383,1,2008,MO,CONTROL,10,121,388,2008_1,1
192,383,1,2008,MO,CONTROL,10,122,132,2008_1,1
192,383,1,2008,MO,CONTROL,10,123,299,2008_1,1
192,383,1,2008,MO,CONTROL,10,124,129,2008_1,1
192,383,1,2008,MO,CONTROL,10,125,334,2008_1,1
192,384,1,2006,MO,TREAT,-20,126,337.37,2006_1,1
192,384,1,2006,MO,TREAT,-20,127,363.38,2006_1,1
192,384,1,2006,MO,TREAT,-20,128,135.03,2006_1,1
192,384,1,2006,MO,TREAT,-20,129,230.93,2006_1,1
192,384,1,2006,MO,TREAT,-20,130,265.93,2006_1,1
192,384,1,2006,MO,TREAT,-20,131,412.99,2006_1,1
192,384,1,2006,MO,TREAT,-20,132,307.91,2006_1,1
192,384,1,2007,MO,TREAT,-17,133,295,2007_1,1
192,384,1,2007,MO,TREAT,-17,134,445,2007_1,1
192,384,1,2007,MO,TREAT,-17,135,236,2007_1,1
192,384,1,2007,MO,TREAT,-17,136,207,2007_1,1
192,384,1,2008,MO,TREAT,10,137,239,2008_1,1
192,384,1,2008,MO,TREAT,10,138,443,2008_1,1
193,385,1,2006,MO,CONTROL,-13,139,162.69,2006_1,1
193,385,1,2006,MO,CONTROL,-13,140,219.68,2006_1,1
193,385,1,2006,MO,CONTROL,-13,141,270.34,2006_1,1
193,385,1,2007,MO,CONTROL,-10,142,418,2007_1,1
193,385,1,2007,MO,CONTROL,-10,143,201,2007_1,1
193,385,1,2008,MO,CONTROL,-7,144,96,2008_1,1
193,385,1,2008,MO,CONTROL,-7,145,119,2008_1,1
193,385,1,2008,MO,CONTROL,-7,146,198,2008_1,1
193,385,1,2008,MO,CONTROL,-7,147,258,2008_1,1
193,386,1,2006,MO,TREAT,-13,148,468.4,2006_1,1
193,386,1,2006,MO,TREAT,-13,149,331.2,2006_1,1
193,386,1,2006,MO,TREAT,-13,150,252.35,2006_1,1
193,386,1,2006,MO,TREAT,-13,151,427.85,2006_1,1
193,386,1,2007,MO,TREAT,-10,152,228,2007_1,1
193,386,1,2007,MO,TREAT,-10,153,215,2007_1,1
193,386,1,2007,MO,TREAT,-10,154,233,2007_1,1
193,386,1,2008,MO,TREAT,-7,155,119,2008_1,1
193,386,1,2008,MO,TREAT,-7,156,224,2008_1,1
194,387,1,2006,MO,CONTROL,6,NA,NA,2006_1,NA
194,387,1,2007,MO,CONTROL,-12,NA,NA,2007_1,NA
194,387,1,2008,MO,CONTROL,-11,157,156,2008_1,1
194,388,1,2006,MO,TREAT,6,NA,NA,2006_1,NA
194,388,1,2007,MO,TREAT,-12,158,428,2007_1,1
194,388,1,2007,MO,TREAT,-12,159,333,2007_1,1
194,388,1,2007,MO,TREAT,-12,160,201,2007_1,1
194,388,1,2008,MO,TREAT,-11,161,177,2008_1,1
